FID,GEONAME,GENERIC,X,Y
0,16 1/2 Mile Lake,Lake,-117.911111099999,52.7086110999999
1,3 Channels Area,Channel,-110.525,56.7513889
2,49 Lake,Lake,-110.890555599999,56.305
3,51 Lake,Lake,-110.943611099999,56.3138889
4,54 Lake,Lake,-110.989444399999,56.3522222
5,55 Lake,Lake,-110.9938889,56.3661110999999
6,É‚ejere K'elni KÅ³e 196I,Indian Reserve,-111.476111,59.525278
7,A-H Lake,Lake,-112.577222199999,57.7605555
8,Abbeydale,Urban Community,-114.933329999999,51.0499999999999
9,Abbot Pass,Pass,-116.2872222,51.3638888999999
10,Abbot Pass Refuge Cabin National Historic Site of Canada,National Historic Site,-116.289169999999,51.3636109999999
11,Abbott Creek,Creek,-118.9980556,53.9172222999999
12,Abbottsfield,Urban Community,-113.38333,53.566667
13,Abee,Hamlet,-113.027777799999,54.2377778
14,Aberdeen Glacier,Glacier,-116.2430556,51.3847223
15,Abilene,Locality,-111.4861111,54.1083332999999
16,Abraham Lake,Lake,-116.4272222,52.2236110999999
17,Academy,Locality,-114.040277799999,50.8566666999999
18,Acadia,Urban Community,-114.049999999999,50.966667
19,Acadia,Former Locality,-110.4,51.2
20,Acadia Valley,Hamlet,-110.2097222,51.1569445
21,Acheson,Locality,-113.774722199999,53.5502778
22,Acme,Village,-113.508611099999,51.4972222
23,Adair Creek,Creek,-117.7330556,59.0769444
24,Adair Creek,Creek,-114.1566667,49.9744444
25,Adams Creek,Creek,-118.553055599999,53.6911111
26,Adams Creek,Creek,-115.3472222,55.2138889
27,Adams Creek Trail,Trail,-118.691666699999,53.7472222999999
28,Adams Lake,Lake,-114.484722199999,52.0683332999999
29,Adams Landing,Locality,-115.0769444,58.3894444
30,Adams Lookout,Lookout,-118.568055599999,53.7258332999999
31,Adamson Lake,Lake,-112.925833299999,53.6152778
32,Adelade Creek,Creek,-119.349999999999,54.133333
33,Aden,Locality,-111.2986111,49.0247221999999
34,Adolphus Creek,Creek,-119.063333299999,53.8538889
35,Adolphus Lake,Lake,-119.117777799999,53.1711110999999
36,Adrian Lake,Lake,-113.1458333,53.1141666999999
37,Adskwatim Creek,Creek,-120.001388899999,57.1852778
38,Aerial,Former Post Office,-112.621388899999,51.4180556
39,Aetna,Hamlet,-113.239999999999,49.1338889
40,Aetna Creek,Creek,-113.193055599999,49.1716666
41,African Lake,Lake,-110.169722199999,54.4344443999999
