FID,RoadName
1,12 Base Line
2,20212 Township Road 510
3,20332 Township Road 512
4,20340 Township Road 510
5,21252 Township Road 530
6,21431 Township Road 522
7,22151 Township Road 522
8,22151 Township Road 530
9,22169 Township Road 530
10,22348 Township Road 512
11,22450 Township Road 514
12,23020 Township Road 570
13,23054 Township Road 512
14,23061 Township Road 543
15,23319 Township Road 572
16,23330 Township Road 522
17,243030 Range Road 281A
18,24311 Township Road 552
19,24400 Township Road 552
20,26500 Township Road 554
21,26510 Township Road 514
22,274154 Range Road 20
23,33260 Township Road 250
24,38349 Rng Rd 270
25,38419 Rng Rd 284
26,48A
27,500 Carriage Lane Pl
28,51022 Range Road 221
29,51025 Range Road 222
30,51042 Range Road 204
31,51047 Range Road 221
32,51049 Range Road 214
33,51049 Range Road 215
34,51052 Range Road 225
35,51069 Range Road 215
36,51110 Range Road 212
37,51110 Range Road 214
38,51149 Range Road 225
39,51149 Range Road 231
40,51218 Range Road 214
41,51248 Range Road 231
42,51263 Range Road 204
43,51268 Range Road 204
44,51309 Range Road 225
45,51331 Range Road 224
46,51350 Range Road 224
47,51509 Range Road 224
48,51519 Range Road 220
49,51559 Range Road 225
50,51561 Range Road 224
51,52039 Range Road 213
52,52063 Range Road 225
53,52063 Range Road 232
54,52065 Range Road 210
55,52105 Range Road 220
56,52112 Range Road 222
57,52117 Range Road 220
58,52131 Range Road 210
59,52147 Range Road 231
60,52216 Range Road 233
61,52224 Range Road 231
62,52245 Range Road 225
63,52249 Range Road 222
64,52258 Range Road 231
65,52304 Range Road 233
66,52306 Range Road 212
67,52307 Range Road 213
68,52308 Range Road 214
69,52310 Range Road 232
70,52311 Range Road 223
71,52312 Range Road 220
72,52312 Range Road 223
73,52313 Range Road 232
74,52318 Range Road 213
75,52327 Range Road 233
76,52328 Range Road 233
77,52343 Range Road 211
78,52351 21 Highway
79,52356 Range Road 221
80,52380 Range Road 233
81,52401 Range Road 223
82,52411 Range Road 214
83,52458 Range Road 223
84,52465 Range Road 213
85,52514 Range Road 223
86,52519 Range Road 225
87,52545 Range Road 225
88,52555 Range Road 225
89,52561 Range Road 214
90,53038 Range Road 225
91,53050 Range Road 214
92,53110 Range Road 213
93,53151 Range Road 222
94,53221 Range Road 223
95,53250 Range Road 215
96,53271 Range Road 223
97,53279 Range Road 225
98,53310 Range Road 221
99,53347 Range Road 215
100,53431 Range Road 221
101,53455 Range Road 220
102,53462 Range Road 213
103,54009 Range Road 262
104,54020 Range Road 261
105,54150 Range Road 224
106,54200 Range Road 265
107,54323 Range Road 245
108,54324 Range Road 245
109,54511 Range Road 204
110,55230 Range Road 10
111,55232 Range Road 242
112,55312 Range Road 241
113,56500 Range Road 263A
114,600 Carriage Lane Pl
115,Alpine Meadows
116,Anderson Station Way
117,Antelope
118,Antler Isle
119,Armour
120,Aspenmere Place
121,Back
122,Baie Masson
123,Balsam
124,Bearspaw Summit
125,Birch
126,Blackie
127,Boreen
128,Bowriver
129,Brecken Woods
130,Brenda
131,Briarwood Village
132,Broadway
133,Brookside Meadows
134,Capilano Bridge
135,Carey
136,Castle Keep
137,Central
138,Centre
139,Charles
140,Charles Carey
141,Chester
142,Church
143,Clara
144,Cochrane Lake
145,Cottonwood
146,Country Hills Villas
147,Countryside Ravines
148,Cranston Lake
149,Crescent St. E
150,Crowsnest Trail
151,De Witts Pond
152,Dennis
153,Devonshire
154,Eagle Butte Ranch
155,East Lake Ramp
156,Edmonton Hillview One
157,Edward
158,Elbow Ridge Bluffs
159,Elbow Ridge Haven
160,Elliot
161,Elm
162,Evergreen Hills
163,Fifth
164,Firgrove
165,First
166,Fourth
167,Francis Viewpoint
168,Glenbrook Villas
169,Glenview
170,Glenview South
171,Gooding
172,Gracewood Estates
173,Grandview
174,Grant
175,Green Park Gables
176,Greenbrae
177,Harvey Hills
178,Hearthstone
179,Henner's Outlook
180,Heritage Isle
181,Heritage Lake Shores
182,Heritage Villas
183,Highland
184,Highway 216
185,Howard
186,Hunt
187,Industrial
188,Ingram Close
189,Isabella
190,Jud Ranch
191,Keegano
192,King
193,Kingbird
194,Kingsway
195,Lakeview Inlet
196,Lakeview Shores
197,Lancaster
198,Lane
199,Links Spur
200,Lombard
201,Maddi Meadows
202,Madison
203,Main
204,Maple
205,McLuhan Bluff
206,McNeill
207,Mocassin
208,Morris
209,Morton
210,Mount Hesper
211,Mount Orion
212,Mount Shea
213,Napi
214,Neteou
215,Niblock
216,Nottingham Inlet
217,Oak
218,Old HWY 21a
219,Oldsun
220,Ollerenshaw Ranch
221,Overlander Lodge
222,Padmore
223,Park Dr
224,Park Plaza
225,Parkland Place
226,Parkview Estates
227,Perch
228,Pierce
229,Pincher Creek TR
230,Pipestone Manor
231,Pointe Marson
232,Pointe Masson
233,Points West Resort
234,Queen
235,Queensway
236,Railway
237,Range RD 153
238,Range RD 65A
239,Range Road 10
240,Range Road 100
241,Range Road 100A
242,Range Road 100B
243,Range Road 101
244,Range Road 101A
245,Range Road 101B
246,Range Road 102
247,Range Road 102A
248,Range Road 102B
249,Range Road 102C
250,Range Road 103
251,Range Road 103A
252,Range Road 103B
253,Range Road 104
254,Range Road 104A
255,Range Road 104B
256,Range Road 105
257,Range Road 105A
258,Range Road 105B
259,Range Road 10A
260,Range Road 10B
261,Range Road 10C
262,Range Road 11
263,Range Road 110
264,Range Road 110A
265,Range Road 110B
266,Range Road 111
267,Range Road 111A
268,Range Road 111B
269,Range Road 112
270,Range Road 112A
271,Range Road 112B
272,Range Road 112C
273,Range Road 113
274,Range Road 113A
275,Range Road 114
276,Range Road 114A
277,Range Road 114B
278,Range Road 114C
279,Range Road 115
280,Range Road 115A
281,Range Road 115B
282,Range Road 11A
283,Range Road 11B
284,Range Road 11C
285,Range Road 11D
286,Range Road 12
287,Range Road 120
